url,filename,uppercaption,lowercaption,views,upvote
https://i.imgflip.com/66ukw1.jpg,Captain-Hindsight.jpg,if you didn't want to get caught by the police,then you shouldn't have tried sneaking into a  police station,89,4
https://i.imgflip.com/291fla.jpg,Captain-Hindsight.jpg,if we had never made babies,there would be no school shootings,12401,0
https://i.imgflip.com/1j1ldc.jpg,Captain-Hindsight.jpg,if you dont want to look like an idiot online,you should have done some research before you discuss,12840,0
https://i.imgflip.com/4lvhaa.jpg,Captain-Hindsight.jpg,up up up,and ur gay,1111,4
https://i.imgflip.com/46n7cs.jpg,Captain-Hindsight.jpg,if every single person wore a mask,then everyone would know that catching micron size virus with cheap masks is like using a tuna net to catch guppies.,1722,4
https://i.imgflip.com/25zkn5.jpg,Captain-Hindsight.jpg,if you didn't want trump president,you shouldn't have nominated hitlerry,2465,0
https://i.imgflip.com/33nxl8.jpg,Captain-Hindsight.jpg,if you didn't want your kneecaps broken,you shouldn't have borrowed money from vinny salvatino,2609,0
https://i.imgflip.com/1808nl.jpg,Captain-Hindsight.jpg,if you didn't want to be perceived as dishonest and untrustworthy,then you shouldn't have been dishonest and untrustworthy,11184,0
https://i.imgflip.com/4ebqcw.jpg,Captain-Hindsight.jpg,you should've raked the leaves,"gotta take care of the floors, you know the floors of the forrest it very important",1064,2
https://i.imgflip.com/2qkle3.jpg,Captain-Hindsight.jpg,if you wanted a funny opening monologue,you should not have watched the golden globes,2025,0
https://i.imgflip.com/3bzmek.jpg,Captain-Hindsight.jpg,that is a cloud,thank you captain hindsight,2146,5
https://i.imgflip.com/3x1e6x.jpg,Captain-Hindsight.jpg,if you don't want to be seen desperate on imgflip,then you shouldn't be begging for more upvotes,1183,3
https://i.imgflip.com/1q71wk.jpg,Captain-Hindsight.jpg,if you didn't want your career to end,then you shouldn't have posted a photo of you holding a bloodied decapitated head of the president.,4250,19
https://i.imgflip.com/2uczwd.jpg,Captain-Hindsight.jpg,"if you don't want to lose your career, face jail time and being the most hateful individual",then you shouldn't hired two guys to fake the attack,1539,8
https://i.imgflip.com/1dbc8g.jpg,Captain-Hindsight.jpg,if you didn't want the email investigation to reopen,then you should not have withheld evidence from the fbi on a pedophile's computer,1963,0
https://i.imgflip.com/1g5086.jpg,Captain-Hindsight.jpg,we should have run,a different candidate besides hillary,1607,0
https://i.imgflip.com/18b4nh.jpg,Captain-Hindsight.jpg,if you wanted that promotion,you shouldn't have been such an asshole to everyone,1224,0
https://i.imgflip.com/1dvvoj.jpg,Captain-Hindsight.jpg,if you wanted your party to  win the general election,then you shouldn't have rigged the primary election,3442,0
https://i.imgflip.com/373azh.jpg,Captain-Hindsight.jpg,if you didn't want me to walk so close to your car,you shouldn't have stopped on the crosswalk,9518,2
https://i.imgflip.com/1w89fd.jpg,Captain-Hindsight.jpg,if you didn't want facebook to use your private data,you shouldn't have given them your private data,19081,9
https://i.imgflip.com/1d6zae.jpg,Captain-Hindsight.jpg,if people didn't want terrible presidential candidates,they should have taken more interest in voting during the primaries,1138,0
https://i.imgflip.com/1pway5.jpg,Captain-Hindsight.jpg,you shouldn't have been splashing around in great white shark infested waters,imitating a sea lion,1253,0
https://i.imgflip.com/2yhh18.jpg,Captain-Hindsight.jpg,being nice to a woman,doesn't make her to be romantically interested in you,1107,3
https://i.imgflip.com/18lzyq.jpg,Captain-Hindsight.jpg,if you wanted a good choice for president,you should've voted in the election primaries.,2251,0
https://i.imgflip.com/1dxerq.jpg,Captain-Hindsight.jpg,if you are upset clinton lost,then you shouldn't have assumed she was going to win,1032,10
https://i.imgflip.com/41cj9n.jpg,Captain-Hindsight.jpg,i will save you,tomorrow,104,1
https://i.imgflip.com/2jebur.jpg,Captain-Hindsight.jpg,if you didn't want to get ripped off on a loan,maybe you should have researched interest rates before commiting to it for 7 years,2794,4
https://i.imgflip.com/2glcvv.jpg,Captain-Hindsight.jpg,i should have of,spellchecked before submission.,856,3
https://i.imgflip.com/1aarqh.jpg,Captain-Hindsight.jpg,look,no title,1187,0
https://i.imgflip.com/182oug.jpg,Captain-Hindsight.jpg,if you wanted arrive before 11 at work,you should put your alarm before 11,1006,7
https://i.imgflip.com/17kbmb.jpg,Captain-Hindsight.jpg,if you want a beer,you should order a beer,1025,7
https://i.imgflip.com/150t3k.jpg,Captain-Hindsight.jpg,if you wanted a title,you should have went to the title fight,759,0
https://i.imgflip.com/1osmnh.jpg,Captain-Hindsight.jpg,if you didn't want people to offer their opinions on your facebook post,you shouldn't have posted on facebook,78902,3
https://i.imgflip.com/1rbo09.jpg,Captain-Hindsight.jpg,if you had to leave early in the morning for a trip,"perhaps you should have packed the night before, rather than staying out late drinking with friends",431721,3
https://i.imgflip.com/xek4q.jpg,Captain-Hindsight.jpg,if you wanted to get comments and upvotes on your meme,you shouldn't have made such a shitty meme,1040,0
https://i.imgflip.com/1bg8x3.jpg,Captain-Hindsight.jpg,if you didn't want your kids to make so much noise,you shouldn't have bought them harmonicas,715,8
https://i.imgflip.com/1ddmpx.jpg,Captain-Hindsight.jpg,you should have elected,different candidates in the first place,568,0
https://i.imgflip.com/1cru6b.jpg,Captain-Hindsight.jpg,they say hindsight is 20/20,"well, hindsight is actually 20/200",873,6
https://i.imgflip.com/1kxwk4.jpg,Captain-Hindsight.jpg,you should have run a different,candidate besides hillary,500,4
https://i.imgflip.com/1xpy6p.jpg,Captain-Hindsight.jpg,why is it 3 hours after an argument,i think of a good reply,1087,3
https://i.imgflip.com/1swm40.jpg,Captain-Hindsight.jpg,dennis rodmam was not a good choice,to broker stability with north korea,1074,0
https://i.imgflip.com/13wa8l.jpg,Captain-Hindsight.jpg,if you get a raise,then you will be adjusted for inflation,792,5
https://i.imgflip.com/xrr9d.jpg,Captain-Hindsight.jpg,if you wanted me to come over to your house,you shouldn't have made a big deal about the dogs barking and waking your boyfriend up every time i came over,3234,5
https://i.imgflip.com/2vbp09.jpg,Captain-Hindsight.jpg,if you didn't want people thinking you're a pedophile,you shouldn't have had 7 year olds sleeping in your bed,2018,1
https://i.imgflip.com/xdejj.jpg,Captain-Hindsight.jpg,if you understand how corrupt the u.s. government is,"then maybe you should grab your guns, storm congress, the supreme court, and the white house at the same time.",1450,0
https://i.imgflip.com/2gl63x.jpg,Captain-Hindsight.jpg,i shoukd habe ov,smellchecked vefore sumnition.,711,0
https://i.imgflip.com/150z0t.jpg,Captain-Hindsight.jpg,if you didn't want an argument,you should not have expressed your [conservative] opinion,640,6
https://i.imgflip.com/ysitv.jpg,Captain-Hindsight.jpg,if you didn't want to be called,you shouldn't have put your phone number in your email signature,4396,3
https://i.imgflip.com/29v60l.jpg,Captain-Hindsight.jpg,if you didn't want to turbocharge  your allergies,you probably shouldn't have driven to work with the top down on your car,13155,0
https://i.imgflip.com/2a9ti6.jpg,Captain-Hindsight.jpg,if you are sad that your favorite show is getting cancelled,you should have got more people to watch it before now,2210,1
https://i.imgflip.com/xkzy2.jpg,Captain-Hindsight.jpg,christian mingle,is a waste of time,639,0
https://i.imgflip.com/1lq40l.jpg,Captain-Hindsight.jpg,if you really want to change the world,then you shouldn't preach what you can't do,430,3
https://i.imgflip.com/xrefu.jpg,Captain-Hindsight.jpg,if i wanted to hear blank space five times,i wouldn't have turned on shuffle,1108,3
https://i.imgflip.com/1dvv89.jpg,Captain-Hindsight.jpg,if you wanted your party to  win the general election,then you shouldn't have rigged the primary election,476,2
https://i.imgflip.com/14fvly.jpg,Captain-Hindsight.jpg,if you did not like hair everywhere,then you should not have moved in with a woman,1442,2
https://i.imgflip.com/38d4bj.jpg,Captain-Hindsight.jpg,if you wanted me to keep your contact info,you shouldn't have ghosted me,2496,0
https://i.imgflip.com/30oot4.jpg,Captain-Hindsight.jpg,if you didnt want an octopus to try and eat your face,then you should have made sure it was dead before you did the same to it.,2823,0
https://i.imgflip.com/10crgh.jpg,Captain-Hindsight.jpg,that is why you don't jump,two weight classes!,427,2
https://i.imgflip.com/11rcwh.jpg,Captain-Hindsight.jpg,if you didn't want to get sick of hearing about how much money you've taken from the fossil fuel industry,you shouldn't have taken so much money from the fossil fuel industry,2201,0
https://i.imgflip.com/1qjr9m.jpg,Captain-Hindsight.jpg,if you don't want to wind up in therapy,you shouldn't go trick-or-treating as michelle obama and starve a bunch of kids!,208,1
https://i.imgflip.com/1eacus.jpg,Captain-Hindsight.jpg,ah ha ha ha,"stayin' alive, stayin' alive",182,1
https://i.imgflip.com/14r55g.jpg,Captain-Hindsight.jpg,if you didn't want a failing grade onr your report card,then you should have done your work in class,247,1
https://i.imgflip.com/3ewmcj.jpg,Captain-Hindsight.jpg,bad random life tip #1:,"to keep from tipping your waitress, once she sets your meal at the table, ask for to-go boxes.",618,0
https://i.imgflip.com/3de4rl.jpg,Captain-Hindsight.jpg,the eye should be,on my back,529,1
https://i.imgflip.com/2qpyip.jpg,Captain-Hindsight.jpg,it is a turbulent environment..do something eyeman,okay let me do planning and forecasting,317,0
https://i.imgflip.com/2f45ll.jpg,Captain-Hindsight.jpg,in the future maybe,we won't elect them if they are crazy,149,0
https://i.imgflip.com/24adtc.jpg,Captain-Hindsight.jpg,ill slap your face,back to trump again,126,0
https://i.imgflip.com/1zbdhm.jpg,Captain-Hindsight.jpg,thank you captain first degree,your work here is done,882,0
https://i.imgflip.com/18wfly.jpg,Captain-Hindsight.jpg,if you don't want the media analyzing your words and attacking you,don't say stupid things,774,2
https://i.imgflip.com/332ny8.jpg,Captain-Hindsight.jpg,if you didn't want to be on farmer welfare,you shouldn't have voted for trump,35754,1
https://i.imgflip.com/2a3q7g.jpg,Captain-Hindsight.jpg,i'd you smoke meth,your a tweeker,229,0
https://i.imgflip.com/64suoq.jpg,Samuel-L-Jackson-say-one-more-time.jpg,son of a botch,say that again,173,0
https://i.imgflip.com/4312k3.jpg,Samuel-L-Jackson-say-one-more-time.jpg,don't you wait another 10 years to complete your census it only takes 10 mins to do,www.2020census.gov,4334,2
https://i.imgflip.com/410ev5.jpg,Samuel-L-Jackson-say-one-more-time.jpg,"say ""in these unprecedented times"" one more time",i dare you,12724,2
https://i.imgflip.com/2h94mt.jpg,Samuel-L-Jackson-say-one-more-time.jpg,say nike,one more time,5679,3
https://i.imgflip.com/45s9yy.jpg,Samuel-L-Jackson-say-one-more-time.jpg,"say ""global pandemic""",one more time,6847,0
https://i.imgflip.com/20yw4y.jpg,Samuel-L-Jackson-say-one-more-time.jpg,internet m*****f****r,do you speak it?!,2324,0
https://i.imgflip.com/3stujz.jpg,Samuel-L-Jackson-say-one-more-time.jpg,"say ""coronavirus""",one more time,2810,0
https://i.imgflip.com/3yazal.jpg,Samuel-L-Jackson-say-one-more-time.jpg,go ahead say zoom meeting,one more time!!!,2488,0
https://i.imgflip.com/1v38sg.jpg,Samuel-L-Jackson-say-one-more-time.jpg,say do you have gas,one more time,6836,0
https://i.imgflip.com/65o4s5.jpg,Samuel-L-Jackson-say-one-more-time.jpg,ask how wl,one more time,26,0
https://i.imgflip.com/5qka4n.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,if you want god to bless somebody then bless them,"you are his hands, you are his body don't let your prayers be empty handed words. act in faith, give freely",691,1
https://i.imgflip.com/5aj5kf.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,you don't need to see my vaccine passport,move along,3671,3
https://i.imgflip.com/521z7m.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,this is not the furry your looking for,"im totally not a fugitive, who just robbed a bank and stol 700,000 dollars",1322,3
https://i.imgflip.com/23q2zk.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,you will now see c-3po,with a silver leg,6113,0
https://i.imgflip.com/21w8g1.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,you will now,scroll down imgflip till your eyes hurt,4305,0
https://i.imgflip.com/ybak7.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,you will give me,a paper towel.,28336,0
https://i.imgflip.com/1efmkb.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,i am not,the single fellow you are looking for,2427,0
https://i.imgflip.com/1sm8ld.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,and if you see so much as a tiny squirt gun involved in a crime,"you will think ""assault rifle"".",2260,0
https://i.imgflip.com/201xxg.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,your mind doesn't mind my mind's,mind trick on your mind,9404,0
https://i.imgflip.com/14pkf7.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,the dumbass  is strong,with this one!,2994,7
https://i.imgflip.com/1wgac4.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,this is not the,apocalypse you're looking for,525,4
https://i.imgflip.com/1qgng4.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,this meme,will make it to the hot list,1874,0
https://i.imgflip.com/11ui6l.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,open the death star,stop having it be closed,2507,3
https://i.imgflip.com/11umn3.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,bush never,invades iraq,495,0
https://i.imgflip.com/149swr.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,there is no,iso shortage,1971,1
https://i.imgflip.com/1gnb1p.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,"""you need to go buy that  new bdc kit today.""","""i think i'll go to pmt nottingham and buy that bdc kit today.""",1033,1
https://i.imgflip.com/151ub5.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,this is not the meme,you want to make,474,0
https://i.imgflip.com/12kklt.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,you will do,a volts observation,234,1
https://i.imgflip.com/yjgy4.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,you now,like lotr,394,0
https://i.imgflip.com/131c7s.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,these are not,the suspicious looking people you are trying to find right now,806,1
https://i.imgflip.com/187pfc.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,the meme's,are strong with this one,523,1
https://i.imgflip.com/5euxg3.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,these are the links,you are looking for,82,0
https://i.imgflip.com/226908.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,these are not,the health krystals you are looking for,539,0
https://i.imgflip.com/1fjf67.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,you don't think,i deserve to be on the naughty list this year,676,0
https://i.imgflip.com/y4hoi.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,"id,   sure",he is old enough,382,0
https://i.imgflip.com/18erlc.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,no need to look at competition,we will move forward with commvault,2760,0
https://i.imgflip.com/38tv1b.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,i am not the droids,you're looking for,162,0
https://i.imgflip.com/5es8p7.jpg,Obi-Wan-Kenobi-Jedi-Mind-Trick.jpg,you will now obey me,upvote this meme,97,0
https://i.imgflip.com/46cxx2.jpg,You-have-no-power-here.jpg,when coronavirus is in your area but you installed antivirus,you have no power here,9790,0
https://i.imgflip.com/5dvaye.jpg,You-have-no-power-here.jpg,teacher: *says that we have to listen to her during online class*,me at home: you have no power here!,1165,5
https://i.imgflip.com/40l8bs.jpg,You-have-no-power-here.jpg,when the teacher tries to punish you in online class,you have no power here,4870,0
https://i.imgflip.com/4g02c4.jpg,You-have-no-power-here.jpg,teacher: dont eat in class virtual students:,you have no power here,1413,0
https://i.imgflip.com/2epbd6.jpg,You-have-no-power-here.jpg,when you live in seattle,and you get that one sunny day of the year in late july,4060,0
https://i.imgflip.com/4wu2jy.jpg,You-have-no-power-here.jpg,you have no power here,jackie weaver!,3638,0
https://i.imgflip.com/4o72yf.jpg,You-have-no-power-here.jpg,"when security tries to kick you out for not wearing a mask, but you cough on them and they flee in terror:",you have no power here,1161,4
https://i.imgflip.com/4l4yer.jpg,You-have-no-power-here.jpg,when the teacher says you cant log off until you answer the question,you have no power here,513,2
https://i.imgflip.com/36tnww.jpg,You-have-no-power-here.jpg,when the physio  in charge of your rehab gym is away and leaves other physics to run the session,you have no power here,2657,5
https://i.imgflip.com/3xbn1f.jpg,You-have-no-power-here.jpg,"my mom: takes away my phone so i canâ€™t talk to friends me, knowing i can just talk to my imgflip friends on my laptop:",you have no power here,509,3
https://i.imgflip.com/2nns8e.jpg,You-have-no-power-here.jpg,my credit is already in the shitter,you have no power here..!,2459,2
https://i.imgflip.com/1v2dme.jpg,You-have-no-power-here.jpg,doge,you have no power here!,722,0
https://i.imgflip.com/1i42o4.jpg,You-have-no-power-here.jpg,to the women who marched against trump,you have no power here!,1542,7
https://i.imgflip.com/1qxqp2.jpg,You-have-no-power-here.jpg,your technical analysis,has no power here,21498,3
https://i.imgflip.com/3dm5wu.jpg,You-have-no-power-here.jpg,me when a sub walks into the room:,you have no power here,550,1
https://i.imgflip.com/1etxdg.jpg,You-have-no-power-here.jpg,this isn't your safe space,you have no power here!,2624,4
https://i.imgflip.com/2t5xpf.jpg,You-have-no-power-here.jpg,just when you think u might freeze,boom 12hrs later power is back,920,1
https://i.imgflip.com/152re3.jpg,You-have-no-power-here.jpg,i have,"no power, here",3307,4
https://i.imgflip.com/154q4w.jpg,You-have-no-power-here.jpg,i have my bachelors and leaving in two months,you have no power here,2009,3
https://i.imgflip.com/103ua3.jpg,You-have-no-power-here.jpg,you have no power here,cliffhangers,1224,5
https://i.imgflip.com/1ynl8c.jpg,You-have-no-power-here.jpg,"mormon missionaries in loma linda, adventists be like:",you have no power here,665,1
https://i.imgflip.com/1v2dgv.jpg,You-have-no-power-here.jpg,lives on opposite side of world from hurricane harvey,you have no power here,506,1
https://i.imgflip.com/3zn0ug.jpg,You-have-no-power-here.jpg,me when my parents tell me to clean my room,you have no power here!,301,1
https://i.imgflip.com/1cqzsq.jpg,You-have-no-power-here.jpg,when you a libertarian and a liberal says you only quote white people quotes from martin luther king jr,so you repost your post on how black panthers were justified having armed protests,1188,0
https://i.imgflip.com/1dhfg2.jpg,You-have-no-power-here.jpg,when someone who didnt match any drugs trys too join the circle,you have no drugs here,301,1
https://i.imgflip.com/56p3yu.jpg,You-have-no-power-here.jpg,me to people who makes meme in anonymous because their meme can be easily reposted:,you have no power here,170,0
https://i.imgflip.com/180sww.jpg,You-have-no-power-here.jpg,digging into mongodb for my project as an sql user,you have no power here,991,0
https://i.imgflip.com/19a3nm.jpg,You-have-no-power-here.jpg,when people tell me i have to vote for either hillary or donald,you have no power here,225,2
https://i.imgflip.com/206n8h.jpg,You-have-no-power-here.jpg,when your watching a henry danger commercial while on the cartoon network:,you have no power here!,1512,0
https://i.imgflip.com/174aa8.jpg,You-have-no-power-here.jpg,your downvotes,have no power here,817,0
https://i.imgflip.com/3p4v7d.jpg,You-have-no-power-here.jpg,school tech team: the app's system is bugged to do nothing! me who installed as many games as possible before it fixed:,you have no power here,288,0
https://i.imgflip.com/43avgh.jpg,You-have-no-power-here.jpg,when you get rickrolled but you actually like the song,you have no power here,775,0
https://i.imgflip.com/50v6o5.jpg,Going-to-need-a-bigger-boat.jpg,i think weâ€™re going to need,a bigger yard.,1318,2
https://i.imgflip.com/4klrbe.jpg,Going-to-need-a-bigger-boat.jpg,going to need,a bigger booze cupboard,1505,1
https://i.imgflip.com/4gvrnu.jpg,Going-to-need-a-bigger-boat.jpg,me who did all the work but is to shy to present,"my friend  presenting ""our"" project""",1532,1
https://i.imgflip.com/23apip.jpg,Going-to-need-a-bigger-boat.jpg,we're gonna need a,bigger office,9691,2
https://i.imgflip.com/1z9jo2.jpg,Going-to-need-a-bigger-boat.jpg,we're gonna need,a bigger pizza delivery car,1629,3
https://i.imgflip.com/28jarx.jpg,Going-to-need-a-bigger-boat.jpg,we are going to need,a bigger mousetrap,1160,0
https://i.imgflip.com/1zeo9j.jpg,Going-to-need-a-bigger-boat.jpg,we're gonna need,a bigger monthly bandwidth cap,1757,2
https://i.imgflip.com/16ocag.jpg,Going-to-need-a-bigger-boat.jpg,you're going to need,a bigger car!,15122,0
https://i.imgflip.com/237q3x.jpg,Going-to-need-a-bigger-boat.jpg,where going to,need a bigger shit,741,1
https://i.imgflip.com/1j8shx.jpg,Going-to-need-a-bigger-boat.jpg,we're going to need,a bigger volcano,2267,0
https://i.imgflip.com/1ill1r.jpg,Going-to-need-a-bigger-boat.jpg,we're going to need,#abiggerwomensmarch,378,0
https://i.imgflip.com/46qzo0.jpg,Going-to-need-a-bigger-boat.jpg,we're  gonna  need  a,bigger  cooler,227,0
https://i.imgflip.com/2xxq1s.jpg,Going-to-need-a-bigger-boat.jpg,i think iâ€™m going to need a,bigger boat,871,0
https://i.imgflip.com/1xapcj.jpg,Going-to-need-a-bigger-boat.jpg,i think we're going to need,a bigger ball winder,370,0
https://i.imgflip.com/5eyg3x.jpg,Pepe-Silvia.jpg,i'm finding lethal,no just hear me out i got the combo,1842,1
https://i.imgflip.com/3t6bbv.jpg,Pepe-Silvia.jpg,me trying to explain to my friend,my plan to get my crush to date me,3061,2
